"Município","","","Nome do Abrigo","","","","","","","","","","","","","Endereço Abrigo","","","","","","","","","","Capacidade",""
"PORTO ALEGRE","","","Escola São Francisco Palotti","","","","","","","","","","","","","TUPI, 212","","","","","","","","","","85",""
"PORTO ALEGRE","","","ESEF","","","","","","","","","","","","","Rua Felizardo, nº 750","","","","","","","","","","550",""
"PORTO ALEGRE","","","Foro do Partenon","","","","","","","","","","","","","Foro Regional do Partenon - Endereço: R. Cel. Aparício Borges, 2025 - Partenon, Porto Alegre - RS, ","","","","","","","","","","5",""
"PORTO ALEGRE","","","Ginásio Aliança","","","","","","","","","","","","","Rua ANTÔNIO da Silveira, 7325 - Lomba do Pinheiro","","","","","","","","","","70",""
"PORTO ALEGRE","","","Ginásio da Igreja São Miguel","","","","","","","","","","","","","Rodovia Teixeirinha","","","","","","","","","","48",""
"PORTO ALEGRE","","","Ginásio do Sindicato dos Gráficos","","","","","","","","","","","","","Veador Porto, 241, Bairro Santana","","","","","","","","","","53",""
"PORTO ALEGRE","","","Grêmio Nautico União Quintino Bocaiuva (Entrada pela 24 de outubro)","","","","","","","","","","","","","Quintino Bocaiúva, 500 - entrada pela 24 de outubro","","","","","","","","","","255",""
"PORTO ALEGRE","","","Igraja Batista Betel de Porto Alegre","","","","","","","","","","","","","Estrada da Branquinha","","","","","","","","","","18",""
"PORTO ALEGRE","","","Igreja ABBA Church","","","","","","","","","","","","","Rua Dona Alzira, 420","","","","","","","","","","80",""
"PORTO ALEGRE","","","Igreja ADMA","","","","","","","","","","","","","João ANTÔNIO da Silveira 6725 - restinga","","","","","","","","","","35",""
"PORTO ALEGRE","","","Igreja Aliança","","","","","","","","","","","","","av baltazar de oliveira garcia, 3580. Entrada pela rua lateral: Rua Dário Borba Brossard, 39","","","","","","","","","","70",""
"PORTO ALEGRE","","","Igreja Aspirantes de Cristo","","","","","","","","","","","","","Parlamento, 115 - morro santana","","","","","","","","","","55",""
